Grandal, Yasmani,518735,2018,.019,.028,89,
LeMahieu, DJ,518934,2018,.000,.009,91.4,
Moustakas, Mike,519058,2018,-0.006,-0.001,89.5,
Rizzo, Anthony,519203,2018,-0.006,.000,90.1,
Stanton, Giancarlo,519317,2018,.025,.035,93.7,
Galvis, Freddy,520471,2018,.029,.034,88.7,
Perez, Salvador,521692,2018,-0.024,-0.039,91.4,
Inciarte, Ender,542255,2018,.011,.039,84.9,
Ozuna, Marcell,542303,2018,-0.005,-0.063,91.5,
Villar, Jonathan,542340,2018,.037,.033,88.5,
Aguilar, Jesus,542583,2018,.021,.053,89.7,
Crawford, Brandon,543063,2018,.003,.019,87.5,
Cron, C.J.,543068,2018,.006,.013,88,
Hicks, Aaron,543305,2018,-0.014,.002,89.7,
Hosmer, Eric,543333,2018,.014,.025,88.7,
Kipnis, Jason,543401,2018,-0.007,-0.005,86.9,
Rendon, Anthony,543685,2018,.007,.000,90.7,
Semien, Marcus,543760,2018,.014,.013,86.8,
Shaw, Travis,543768,2018,-0.002,.021,88.9,
Springer III, George,543807,2018,.012,-0.023,88.7,
Strange-Gordon, Dee,543829,2018,.003,.024,83.6,
Gregorius, Didi,544369,2018,.011,.096,87,
Trout, Mike,545361,2018,.018,.029,91.2,
Herrera, Odubel,546318,2018,.025,.063,87.1,
Harper, Bryce,547180,2018,-0.014,-0.022,91,
Abreu, Jose,547989,2018,-0.012,-0.017,91.3,
Suarez, Eugenio,553993,2018,.008,.011,91.2,
Polanco, Gregory,570256,2018,.010,.056,88.9,
Sanchez, Yolmer,570560,2018,.007,.029,86.7,
Arenado, Nolan,571448,2018,.032,.094,89.8,
Barnhart, Tucker,571466,2018,.009,.021,87.1,
Gennett, Scooter,571697,2018,.053,.084,87.4,
Hamilton, Billy,571740,2018,.014,.061,80.5,
Haniger, Mitch,571745,2018,.008,-0.003,90.2,
Piscotty, Stephen,572039,2018,-0.001,.001,88.5,
Seager, Kyle,572122,2018,-0.025,-0.011,89.8,
Carpenter, Matt,572761,2018,-0.010,-0.019,90.7,
Dickerson, Corey,572816,2018,.013,.020,88.1,
Dozier, Brian,572821,2018,.011,.048,86.8,
Contreras, Willson,575929,2018,.032,.033,88.2,
Castellanos, Nick,592206,2018,.002,-0.025,89.6,
Healy, Ryon,592387,2018,-0.023,-0.027,89.6,
Machado, Manny,592518,2018,.010,.023,91.6,
Realmuto, J.T.,592663,2018,.006,.012,89.1,
Rosario, Eddie,592696,2018,.046,.054,87.7,
Simmons, Andrelton,592743,2018,.017,.030,88.2,
Yelich, Christian,592885,2018,.008,.030,92.6,
Merrifield, Whit,593160,2018,.022,.006,87.1,
Bogaerts, Xander,593428,2018,.012,.031,90.6,
Calhoun, Kole,594777,2018,-0.040,-0.078,90.7,
Profar, Jurickson,595777,2018,.004,.066,87.4,
Baez, Javier,595879,2018,.024,.052,90.6,
Lindor, Francisco,596019,2018,-0.012,.005,90.6,
Odor, Rougned,596059,2018,.013,.015,90.7,
Story, Trevor,596115,2018,.025,.055,91,
Kepler, Max,596146,2018,-0.009,.004,89.5,
Bradley Jr., Jackie,598265,2018,-0.027,-0.060,92.2,
Candelario, Jeimer,600869,2018,.018,.043,87.1,
Ahmed, Nick,605113,2018,-0.005,.042,86.9,
Anderson, Brian,605119,2018,.012,-0.007,90.2,
Bell, Josh,605137,2018,.004,-0.006,90.2,
Betts, Mookie,605141,2018,.037,.036,92.2,
Smith, Mallex,605480,2018,.041,.067,85.8,
Hernandez, Teoscar,606192,2018,.005,-0.030,91.8,
Peraza, Jose,606299,2018,.015,.033,85.8,
Marte, Ketel,606466,2018,.002,.040,88.9,
Nimmo, Brandon,607043,2018,.021,.080,90,
Turner, Trea,607208,2018,-0.002,.001,89.1,
Pillar, Kevin,607680,2018,-0.028,-0.005,87.3,
Ramirez, Jose,608070,2018,.009,.082,89,
Bregman, Alex,608324,2018,.015,.064,89.4,
Gallo, Joey,608336,2018,-0.027,-0.050,94.4,
Mazara, Nomar,608577,2018,.000,-0.005,90.5,
Andujar, Miguel,609280,2018,.022,.093,89.2,
Swanson, Dansby,621020,2018,.008,.034,88,
Taylor, Chris,621035,2018,.015,.038,88.9,
Wendle, Joey,621563,2018,.040,.068,88.8,
Olson, Matt,621566,2018,-0.005,-0.049,93.3,
Duffy, Matt,622110,2018,.025,.015,86.8,
Margot, Manuel,622534,2018,-0.006,.017,89.4,
Camargo, Johan,622666,2018,.035,.084,88.1,
Conforto, Michael,624424,2018,.003,.023,88,
Anderson, Tim,641313,2018,.014,.044,85.9,
Bellinger, Cody,641355,2018,.022,.037,89.8,
Mancini III, Trey,641820,2018,-0.009,-0.017,89.9,
Rosario, Amed,642708,2018,.003,.017,87.7,
Benintendi, Andrew,643217,2018,.008,.014,88.6,
Albies, Ozzie,645277,2018,.011,.049,86.9,
Chapman, Matt,656305,2018,.021,.076,93.1,
Hoskins, Rhys,656555,2018,.015,.044,89,
Schwarber, Kyle,656941,2018,-0.005,-0.002,90.7,
Moncada, Yoan,660162,2018,.024,.019,91,
Beltran, Carlos,136860,2017,.002,.015,87.3,
Pujols, Albert,405395,2017,-0.020,-0.055,88.7,
Mauer, Joe,408045,2017,-0.003,-0.052,90.6,
Cabrera, Miguel,408234,2017,-0.031,-0.120,91.1,
Phillips, Brandon,408252,2017,.013,.036,84.6,
Reyes, Jose,408314,2017,.004,.062,84.3,
Choo, Shin-Soo,425783,2017,-0.008,-0.052,88.7,
Molina, Yadier,425877,2017,.001,-0.022,87.9,
Cano, Robinson,429664,2017,-0.014,-0.032,90.3,
Encarnacion, Edwin,429665,2017,-0.008,-0.024,89.2,
Bautista, Jose,430832,2017,-0.007,-0.012,88.4,
Jones, Adam,430945,2017,.022,.028,86.9,
Granderson, Curtis,434158,2017,-0.013,-0.002,87.7,
Ramirez, Hanley,434670,2017,-0.021,-0.050,88.5,
Morales, Kendrys,434778,2017,-0.020,-0.065,91.1,
Kinsler, Ian,435079,2017,-0.020,-0.016,86.3,
Cruz Jr., Nelson,443558,2017,.001,-0.042,93.2,
Trumbo, Mark,444432,2017,-0.002,-0.002,89.8,
Peralta, David,444482,2017,.031,.047,88,
Escobar, Alcides,444876,2017,-0.003,.002,84,
Longoria, Evan,446334,2017,.012,.013,86.7,
Cozart, Zack,446359,2017,.043,.149,85.8,
Reynolds, Mark,448602,2017,.044,.068,87.2,
Davis, Chris,448801,2017,-0.008,-0.024,90,
Headley, Chase,452104,2017,.023,.019,87.3,
Pence, Hunter,452254,2017,.006,-0.038,89,
Span, Denard,452655,2017,-0.011,.018,85.3,
Cabrera, Asdrubal,452678,2017,.016,.004,87.2,
Blackmon, Charlie,453568,2017,.042,.086,87.3,
Frazier, Todd,453943,2017,-0.018,-0.020,87.5,
Markakis, Nick,455976,2017,.006,.002,88.3,
Cain, Lorenzo,456715,2017,.001,.011,89.1,
McCutchen, Andrew,457705,2017,-0.004,.005,88.4,
Upton, Justin,457708,2017,.018,.033,88.8,
Turner, Justin,457759,2017,.024,-0.016,89.4,
Posey III, Buster,457763,2017,.043,.020,88.7,
Bruce, Jay,457803,2017,-0.007,.006,88.4,
Votto, Joey,458015,2017,.022,.024,87.5,
Gardner, Brett,458731,2017,-0.006,.023,86.4,
Joyce, Matt,459964,2017,-0.009,-0.002,88.1,
Gordon, Alex,460086,2017,-0.017,-0.043,86.3,
Andrus, Elvis,462101,2017,.033,.066,86.5,
Cabrera, Melky,466320,2017,-0.012,-0.003,88.3,
Santana, Carlos,467793,2017,-0.007,-0.007,88.6,
Gonzalez, Carlos,471865,2017,.028,.059,87.5,
Mercer, Jordy,474568,2017,.002,.034,85.8,
Alonso, Yonder,475174,2017,.008,.010,89.1,
